carat,cut,color,clarity,depth,table,price,x,y,z
1.23,Very Good,F,VVS2,58.5,59,10650,6.98,7.07,4.11
1.11,Premium,H,SI1,61.1,60,5433,6.68,6.62,4.06
0.3,Ideal,H,VS1,62.2,57,526,4.28,4.3,2.67
0.5,Premium,F,SI1,62.7,61,1286,5.07,5.01,3.16
0.79,Very Good,F,SI1,62.8,59,2878,5.86,5.89,3.69
0.35,Very Good,G,VS1,61.5,60,676,4.51,4.57,2.79
0.31,Fair,G,VVS2,65.5,58,629,4.25,4.24,2.78
0.9,Very Good,I,VS1,63.3,59,3580,6.1,6.06,3.85
0.51,Premium,F,VS1,60.9,57,1836,5.27,5.17,3.18
0.53,Ideal,H,SI1,61.5,54,1205,5.21,5.26,3.22
1.01,Good,F,SI1,63.6,58,4899,6.31,6.37,4.03
1.03,Good,D,SI1,57.7,62,5526,6.63,6.65,3.83
0.32,Premium,G,VS1,62.1,58,828,4.39,4.37,2.72
0.59,Ideal,G,VS2,62.6,54,1664,5.32,5.38,3.35
1.02,Premium,G,I1,60.3,58,2815,6.55,6.5,3.94
0.55,Ideal,F,SI1,61,58,1368,5.25,5.28,3.21
0.36,Premium,F,SI1,62.3,59,600,4.5,4.56,2.82
1.5,Ideal,I,VVS2,61.7,55,10646,7.32,7.39,4.54
0.5,Good,H,SI1,64.5,58,1017,4.97,4.99,3.21
0.34,Premium,G,SI1,59.7,59,650,4.54,4.5,2.7
0.55,Premium,I,VVS1,61.3,59,1593,5.27,5.3,3.24
0.32,Ideal,H,VS1,61.5,57,720,4.42,4.4,2.71
0.7,Ideal,E,VS2,62.1,55,2777,5.7,5.67,3.53
0.33,Ideal,H,VS2,61.1,56,539,4.5,4.54,2.76
1.01,Very Good,H,VS2,62.2,56,4821,6.35,6.44,3.98
0.91,Ideal,H,SI1,62,56,4337,6.19,6.22,3.85
2.15,Premium,J,SI1,62.4,60,13746,8.24,8.18,5.12
1.34,Ideal,I,SI2,61.3,55,5778,7.16,7.12,4.38
0.91,Premium,E,VS1,61.9,59,5167,6.23,6.17,3.84
0.57,Ideal,F,VVS2,61.5,57,2360,5.36,5.31,3.28
1.07,Premium,E,SI2,62.9,59,5033,6.55,6.46,4.09
0.32,Ideal,D,VS2,61.1,56,972,4.41,4.39,2.69
1.01,Very Good,G,VS2,62.9,60,5779,6.28,6.35,3.97
0.32,Ideal,H,VS2,62.8,55,648,4.41,4.38,2.76
0.91,Very Good,D,SI1,60.8,60,4561,6.24,6.21,3.79
0.28,Very Good,H,VVS1,62.9,54,525,4.2,4.23,2.65
0.3,Premium,H,VS2,60.9,61,608,4.35,4.32,2.64
2.32,Ideal,G,SI2,61,58,18532,8.5,8.54,5.2
0.5,Ideal,D,SI1,60.9,57,1563,5.11,5.13,3.12
0.59,Ideal,G,VS1,61.1,58,1916,5.39,5.41,3.3
0.73,Ideal,I,VS2,61.7,55,2453,5.79,5.82,3.58
0.51,Good,G,SI2,63.2,57,1002,5.03,5.07,3.19
1,Premium,I,SI2,61.6,59,3712,6.34,6.41,3.93
2.06,Premium,I,SI2,62.2,60,11190,8.14,8.1,5.05
0.8,Very Good,H,SI2,59.7,58,2263,6.03,6.09,3.62
1.52,Premium,E,SI1,62.5,59,12418,7.33,7.26,4.56
1.13,Premium,F,IF,59.8,60,12722,6.82,6.76,4.06
0.7,Premium,I,VS2,63,60,1966,5.62,5.59,3.53
0.23,Premium,D,VS2,58.5,61,411,4.06,3.98,2.35
1.51,Ideal,G,VS1,60.6,57,14375,7.38,7.48,4.5
1.06,Ideal,H,SI2,59.9,58,4749,6.67,6.63,3.98
0.31,Ideal,I,VS1,61.3,55.6,513,4.37,4.4,2.69
0.6,Very Good,G,SI1,63.1,57,1565,5.32,5.41,3.39
1.02,Very Good,G,VS2,60.9,56,6432,6.47,6.51,3.95
0.5,Premium,E,SI1,59.3,59,1410,5.19,5.24,3.09
0.45,Ideal,G,VVS1,61.5,57,1358,4.95,4.91,3.03
1.01,Premium,D,SI2,58.3,59,4672,6.67,6.63,3.88
1.21,Ideal,F,VS1,62.2,54.9,8629,6.79,6.84,4.24
1.01,Very Good,J,VS2,63.3,54,3620,6.42,6.34,4.04
0.6,Very Good,F,SI1,63.2,57,1599,5.39,5.33,3.39
0.4,Very Good,D,VVS2,61.4,58.3,1359,4.73,4.74,2.9
1.52,Very Good,I,VS2,63.3,61,8938,7.27,7.23,4.59
0.35,Ideal,D,VVS2,60.8,56,1162,4.58,4.6,2.79
0.7,Good,H,VS2,59.1,65,2234,5.75,5.85,3.43
0.71,Very Good,I,SI1,62,56,2098,5.69,5.72,3.54
0.32,Premium,I,VS2,62.6,58,449,4.37,4.42,2.75
1.73,Premium,G,VS2,62.9,58,16960,7.65,7.58,4.79
0.6,Ideal,H,SI2,61.9,55,1238,5.43,5.46,3.37
0.5,Very Good,E,VS2,62.1,62,1451,5.08,5.1,3.16
0.33,Ideal,F,VVS2,62.4,55,750,4.43,4.45,2.77
0.87,Ideal,E,SI1,61.5,57,5112,6.12,6.15,3.77
1.52,Very Good,D,VS2,63.4,59,14680,7.32,7.24,4.61
1.26,Ideal,I,VS2,62.6,55,6350,6.96,6.91,4.34
0.9,Very Good,D,VS2,63.3,59,4981,6.12,6.17,3.89
0.24,Very Good,E,VVS2,58.9,63,485,4.05,4.07,2.39
0.36,Very Good,G,SI1,61.8,60,537,4.53,4.57,2.81
1.51,Good,F,SI2,62.9,55,7875,7.22,7.28,4.56
2,Premium,E,SI2,60.3,58,12987,8.15,8.08,4.89
2.03,Premium,H,VS2,62.1,56,18139,8.2,8.12,5.07
0.55,Good,D,SI2,63.2,56,1272,5.21,5.24,3.3
0.26,Very Good,E,VS2,62.1,56,452,4.11,4.13,2.56
1.63,Ideal,E,SI2,61.7,57,10357,7.5,7.54,4.64
0.51,Ideal,D,VS2,62.1,56,1787,5.11,5.16,3.19
0.63,Ideal,E,VS2,61.5,56,2513,5.48,5.54,3.39
0.4,Premium,D,VS1,60.9,58,1200,4.81,4.78,2.92
0.91,Ideal,I,VS1,62.1,57,3906,6.2,6.23,3.86
0.3,Very Good,D,VS2,61,57,568,4.32,4.34,2.64
1.53,Very Good,G,VS1,60.3,59,13228,7.52,7.58,4.55
0.31,Ideal,I,VS1,61.7,55,544,4.39,4.36,2.7
1.08,Ideal,E,VVS2,62.5,57,10300,6.52,6.57,4.09
1.07,Premium,G,SI2,59.8,60,4201,6.65,6.7,3.99
1.54,Premium,I,SI2,62.4,59,6640,7.33,7.35,4.58
0.35,Ideal,D,VVS1,62,54,1266,4.56,4.57,2.83
0.3,Ideal,H,VS1,61.4,57,545,4.31,4.32,2.65
0.3,Good,H,SI1,63.8,55,432,4.2,4.26,2.7
1.58,Ideal,G,SI1,60.7,56,11610,7.56,7.6,4.6
0.41,Good,F,VS1,58,61,891,4.86,4.9,2.83
0.46,Ideal,G,VVS1,60.7,57,1453,4.98,5.03,3.04
0.42,Very Good,H,VVS1,62.2,56,1193,4.78,4.81,2.98
0.41,Ideal,G,SI1,62.6,54,923,4.78,4.74,2.98
0.88,Good,I,SI1,60.2,64,2581,6.22,6.18,3.73
0.34,Good,F,VS1,60.6,63,696,4.46,4.59,2.74
0.42,Premium,F,VS1,61.2,58,1031,4.82,4.86,2.96
0.5,Premium,E,VS1,58.8,62,1698,5.17,5.14,3.03
0.3,Ideal,H,VVS1,62.3,57,665,4.26,4.28,2.66
0.32,Premium,G,VS2,61,59,561,4.42,4.46,2.71
0.72,Fair,J,SI2,66.1,55,1762,5.51,5.56,3.66
0.41,Ideal,F,VS1,61.9,55,1076,4.8,4.76,2.96
0.32,Very Good,F,VS2,59.6,56,642,4.48,4.51,2.68
1.11,Premium,I,SI2,61.5,58,4196,6.65,6.61,4.08
0.33,Very Good,H,VVS2,61.9,56,614,4.44,4.47,2.76
0.34,Ideal,H,IF,62,53,863,4.49,4.51,2.79
0.5,Fair,G,VS1,67,61,1280,4.97,4.91,3.31
0.41,Premium,E,SI2,62.9,58,876,4.75,4.72,2.98
1,Ideal,E,SI1,61.9,56,5458,6.37,6.45,3.97
0.56,Ideal,G,VS1,60.6,56,1915,5.36,5.33,3.24
0.52,Ideal,H,VS2,62.2,56.4,1391,5.09,5.16,3.19
0.51,Premium,E,VS1,58.2,58,2020,5.33,5.29,3.09
0.72,Ideal,E,SI1,62,57,2476,5.72,5.66,3.53
1.5,Good,H,VS2,63.6,58,10291,7.22,7.27,4.61
0.32,Ideal,I,VS2,62.9,57,576,4.4,4.37,2.76
1.01,Premium,J,VS2,61,61,3722,6.28,6.22,3.81
0.7,Good,E,VS2,61.5,61,2473,5.64,5.74,3.5
0.58,Ideal,I,SI2,61.3,56,1158,5.38,5.45,3.32
0.31,Ideal,G,VVS2,61.7,54,907,4.38,4.34,2.69
0.41,Ideal,H,VVS2,62.5,56,899,4.74,4.77,2.97
0.25,Ideal,G,VVS1,61.7,56,582,4.05,4.07,2.51
1.23,Ideal,E,SI2,61.2,55,6288,6.92,7.01,4.26
0.82,Ideal,E,VS2,61.9,57,3903,6.01,5.98,3.71
0.31,Ideal,G,IF,61,56,988,4.39,4.37,2.67
0.71,Ideal,E,SI1,61.5,57,2654,5.7,5.75,3.52
2.07,Premium,E,SI1,61.2,58,16957,8.24,8.19,5.03
1.55,Ideal,I,VS2,62.6,56,9233,7.41,7.35,4.62
0.61,Premium,F,SI1,62.4,59,1547,5.37,5.33,3.34
0.42,Premium,G,VS2,59.5,59,847,4.83,4.89,2.89
0.33,Ideal,F,VVS1,60.6,57,880,4.51,4.53,2.74
0.52,Ideal,G,VS2,61.2,56,1586,5.16,5.2,3.17
0.41,Very Good,I,VVS2,59.9,57,1024,4.87,4.91,2.93
0.33,Ideal,F,VS2,62.3,56,854,4.45,4.41,2.76
1,Good,E,SI1,59.8,65,4213,6.56,6.45,3.89
1.13,Premium,G,VS2,62.7,57,6379,6.67,6.61,4.16
0.83,Premium,E,SI2,62,61,2544,6.05,5.98,3.73
1.54,Ideal,I,SI2,60.3,59,8092,7.43,7.46,4.49
0.33,Ideal,E,VS2,60.5,56,723,4.48,4.51,2.72
1.71,Ideal,J,VS1,62.4,56,10309,7.59,7.63,4.75
0.41,Premium,E,SI1,61,59,969,4.82,4.78,2.93
0.41,Ideal,F,VS2,61.8,56,863,4.78,4.8,2.96
1.2,Good,G,SI2,63.1,57,4847,6.73,6.77,4.26
1.7,Very Good,G,VS2,61.6,58,16086,7.63,7.67,4.71
0.33,Ideal,E,SI1,62.5,55,743,4.45,4.42,2.77
1.13,Ideal,D,VVS1,61.5,55,13968,6.74,6.69,4.13
1.06,Premium,G,SI2,61.5,58,4571,6.6,6.54,4.04
1,Very Good,D,SI2,58.3,61,4543,6.54,6.59,3.83
1.18,Premium,G,VVS2,62.8,57,9304,6.77,6.71,4.23
0.3,Premium,J,VS1,62.6,58,394,4.27,4.32,2.69
0.43,Premium,D,SI1,61.2,60,774,4.8,4.84,2.95
1.16,Ideal,G,VVS1,61.9,55,9781,6.75,6.78,4.19
0.53,Ideal,E,SI1,61.8,56,1607,5.21,5.17,3.21
2.2,Ideal,H,VS2,61.7,55,17460,8.41,8.38,5.18
0.54,Ideal,I,VS2,61.1,55,1259,5.27,5.31,3.23
1.2,Ideal,H,SI1,62.7,55,6512,6.76,6.73,4.23
0.83,Very Good,F,SI1,63,55,3207,5.95,5.96,3.75
1.24,Premium,J,SI2,62.2,58,4666,6.94,6.82,4.28
0.38,Ideal,E,VVS2,61.9,57,1100,4.63,4.65,2.87
0.32,Premium,G,VVS1,61.9,58,1080,4.39,4.36,2.71
1.06,Ideal,G,VVS2,60.3,57,8726,6.61,6.68,4.01
0.81,Good,D,SI1,63.9,58,3179,5.9,5.85,3.75
0.4,Premium,F,VS1,60.4,59,982,4.75,4.76,2.87
1.13,Premium,J,SI2,59.7,59,4093,6.85,6.76,4.06
0.7,Ideal,G,SI1,61.3,56,2480,5.73,5.78,3.53
1.21,Very Good,F,VS2,63.5,55,7928,6.77,6.71,4.28
0.31,Very Good,F,VS2,62.1,54,500,4.34,4.39,2.71
0.41,Ideal,J,VS1,61.6,55.1,674,4.75,4.8,2.95
0.52,Ideal,G,VVS2,61.8,57,1911,5.14,5.19,3.19
0.9,Very Good,D,VS1,63,56,5757,6.13,6.18,3.88
0.34,Very Good,I,VS2,62.1,57,477,4.44,4.48,2.77
1.01,Premium,H,SI1,62.4,58,4513,6.41,6.35,3.98
1.01,Premium,H,SI2,62.8,61,3959,6.33,6.25,3.95
0.51,Ideal,D,VS2,61.2,55,1787,5.13,5.17,3.15
0.41,Ideal,H,SI1,61.5,55,763,4.78,4.81,2.95
0.7,Fair,G,I1,60.4,58,1069,5.74,5.68,3.45
1.05,Premium,H,VS1,60.9,60,5580,6.58,6.53,3.99
0.3,Ideal,E,SI1,61.7,58,499,4.29,4.3,2.65
0.34,Very Good,H,VS2,61.9,60,537,4.42,4.46,2.75
0.3,Ideal,F,SI1,62.3,54,500,4.27,4.3,2.67
1,Very Good,D,SI1,62.2,58,5621,6.34,6.45,3.98
0.26,Ideal,F,VVS2,61.6,57,769,4.1,4.08,2.52
1.51,Premium,H,SI2,60.4,59,7864,7.3,7.27,4.4
1.02,Ideal,H,VVS2,60.9,57,4798,6.49,6.44,3.94
1.02,Ideal,G,SI1,61.5,57,5398,6.54,6.44,3.99
1.23,Ideal,H,VS1,62.1,54,7946,6.87,6.89,4.27
0.33,Ideal,G,VVS2,61.7,55,752,4.42,4.46,2.74
0.56,Very Good,D,SI1,62.2,63,1378,5.23,5.28,3.27
1.02,Premium,G,VS2,61.5,59,5250,6.4,6.45,3.95
1.08,Premium,G,SI2,62.9,59,4627,6.57,6.53,4.12
1.1,Premium,F,SI2,62.6,57,4832,6.6,6.56,4.12
1.8,Ideal,H,VS1,62.3,56,14968,7.76,7.79,4.84
1.54,Premium,F,SI2,61.1,58,9055,7.47,7.36,4.53
1.16,Ideal,D,VS2,62.1,57,8038,6.7,6.73,4.17
0.51,Very Good,E,SI1,63.5,54,1443,5.1,5.07,3.23
0.53,Very Good,G,VS2,60.1,59,1449,5.22,5.26,3.15
0.54,Premium,E,VS1,61.3,56,1960,5.27,5.23,3.22
0.3,Good,H,SI1,63.7,57,554,4.28,4.26,2.72
0.95,Ideal,E,VS1,61.5,57,5879,6.3,6.28,3.87
0.42,Premium,G,VS2,62,58,1087,4.81,4.77,2.97
0.52,Ideal,E,SI1,61.4,57,1330,5.15,5.18,3.17
0.31,Ideal,E,VS2,60.8,54,872,4.4,4.39,2.67
1.83,Premium,G,VS2,60.5,59,18525,7.99,7.89,4.8
1,Very Good,F,SI2,62.4,56,3906,6.31,6.35,3.95
1.22,Premium,I,SI1,61.2,59,5368,6.86,6.9,4.21
0.3,Very Good,H,SI1,62.2,60,421,4.24,4.28,2.65
1.04,Very Good,G,VS2,61.1,56,6334,6.54,6.56,4.01
1,Good,G,SI1,63.9,58,4218,6.26,6.32,4.02
0.9,Premium,H,VS1,63,59,4064,6.13,6.1,3.85
1.62,Premium,I,VS1,61.7,59,10362,7.55,7.47,4.63
0.32,Very Good,I,VVS1,60.9,57,596,4.45,4.48,2.71
0.31,Premium,H,VS1,61.1,59,698,4.36,4.35,2.66
1.2,Premium,G,VS2,62.1,61,7728,6.74,6.68,4.17
0.41,Ideal,G,SI2,61.3,56,605,4.78,4.81,2.94
0.38,Premium,G,VS2,60.8,61,983,4.66,4.65,2.83
0.51,Very Good,G,VVS1,63.2,58,1971,5.11,5.08,3.22
1.2,Very Good,I,VS2,62.5,59,5724,6.73,6.77,4.22
2.27,Premium,I,SI1,61,58,14362,8.42,8.4,5.19
1.22,Ideal,H,VS1,61.9,54,8411,6.88,6.9,4.26
1.01,Good,F,SI2,63.2,58,4221,6.3,6.43,4.02
0.51,Very Good,E,SI1,63.3,59,1402,5.09,5.05,3.21
1.1,Ideal,H,VS1,61.4,57,6470,6.65,6.64,4.08
1.22,Premium,G,SI1,63,57,6695,6.84,6.74,4.28
1.09,Premium,D,SI1,61.6,58,5799,6.61,6.57,4.06
0.34,Ideal,E,VVS1,61.9,56,1014,4.47,4.51,2.78
0.75,Ideal,D,VS2,61.1,55,3679,5.87,5.89,3.6
0.41,Ideal,F,SI1,61.6,57,904,4.8,4.78,2.95
0.51,Premium,H,VS2,58.5,61,1359,5.26,5.23,3.07
0.63,Ideal,D,SI1,62,56,1992,5.55,5.48,3.42
1,Good,H,SI2,62.7,58,4125,6.31,6.33,3.96
0.9,Good,G,SI2,64.1,56,3246,6.12,6.08,3.91
1.01,Fair,E,SI1,64.7,59,4181,6.23,6.11,3.99
0.34,Ideal,D,VS2,62.4,53,1033,4.52,4.49,2.81
0.42,Ideal,E,VS2,62.2,55,958,4.79,4.83,2.99
2.2,Premium,G,SI2,60.4,60,15897,8.44,8.36,5.08
1.01,Very Good,G,VS2,60,57,5886,6.53,6.6,3.94
1.05,Very Good,G,SI2,62.5,60,4241,6.45,6.5,4.05
1.13,Premium,G,IF,61.2,59,9698,6.78,6.71,4.13
0.32,Very Good,I,VVS1,63,58,589,4.32,4.38,2.74
0.39,Ideal,E,VVS1,60.8,58,1183,4.72,4.76,2.88
0.36,Premium,E,VS2,59.8,62,1013,4.61,4.56,2.74
0.9,Premium,F,SI1,62.6,60,3881,6.14,6.1,3.83
0.43,Ideal,F,VVS2,61.5,55,1148,4.85,4.88,2.99
0.91,Premium,F,SI2,61.7,58,3609,6.22,6.29,3.86
0.31,Ideal,H,VS2,63,57,628,4.34,4.32,2.73
0.38,Ideal,E,SI1,61,56,694,4.68,4.69,2.86
0.32,Premium,F,VS2,61.7,58,828,4.41,4.38,2.71
0.42,Ideal,G,IF,61.9,53,1289,4.83,4.87,3
0.27,Very Good,F,IF,59.4,61,567,4.23,4.26,2.52
0.41,Premium,F,SI1,61,60,969,4.81,4.77,2.92
0.41,Premium,E,VS1,60.7,59,1030,4.79,4.77,2.9
0.76,Ideal,H,SI1,62,56,2578,5.89,5.85,3.64
1.23,Very Good,F,VS1,62,59,10035,6.84,6.87,4.25
1.22,Ideal,G,VVS2,62.3,56,10221,6.84,6.81,4.25
0.34,Very Good,E,SI1,63.4,55,714,4.46,4.44,2.82
0.56,Premium,D,SI1,62.3,58,1865,5.28,5.21,3.27
0.9,Premium,H,VS2,61.3,59,4155,6.19,6.24,3.81
0.33,Ideal,E,VS2,61.1,55,738,4.47,4.51,2.74
0.31,Very Good,G,VVS2,63.3,57,907,4.31,4.28,2.72
0.75,Premium,G,SI1,59.4,62,1980,5.95,5.91,3.52
1,Good,F,SI2,63.6,62,3265,6.25,6.2,3.96
0.91,Premium,G,VS1,60.9,54,4510,6.38,6.27,3.85
0.3,Ideal,F,SI1,61.9,54,475,4.33,4.36,2.69
0.76,Good,D,VS2,63.5,55,3443,5.81,5.85,3.7
1.01,Very Good,H,SI1,62.9,56,5433,6.34,6.41,4.01
1.21,Premium,G,VS1,62.7,58,8774,6.85,6.76,4.27
0.31,Ideal,G,VS2,62.9,57,698,4.34,4.31,2.72
0.71,Premium,D,VS2,60.3,62,3077,5.76,5.69,3.45
1.01,Very Good,I,SI2,61.8,60,3885,6.34,6.37,3.93
1.87,Very Good,H,SI1,62.9,58,14308,7.79,7.83,4.91
1.88,Good,J,SI2,57.9,59,8048,8.16,8.11,4.71
1.01,Premium,E,VS2,59.2,59,7287,6.67,6.6,3.93
1.05,Ideal,E,VS1,62.1,56,9160,6.57,6.48,4.05
1.06,Premium,H,SI1,61.6,59,4785,6.54,6.55,4.03
0.36,Ideal,F,VVS1,61,55,1028,4.6,4.62,2.81
0.24,Very Good,E,VVS1,61.7,61,485,3.95,3.99,2.45
0.56,Ideal,G,SI1,62,57,1631,5.25,5.27,3.26
1.03,Good,J,SI1,63.6,57,2855,6.38,6.29,4.03
0.38,Premium,E,VVS1,60.6,59,1047,4.62,4.65,2.81
0.48,Premium,F,VS2,60.1,59,1294,5.12,5.1,3.07
1.22,Premium,I,SI1,62.7,58,5602,6.83,6.8,4.27
1,Good,G,VS1,64.4,58,5906,6.23,6.29,4.03
0.32,Very Good,F,IF,61.7,55,921,4.4,4.41,2.72
0.41,Ideal,G,VVS2,61,57,1076,4.8,4.78,2.92
2.01,Very Good,I,SI1,58.9,63,15140,8.22,8.16,4.82
1.06,Premium,F,SI1,60.4,62,5580,6.62,6.59,3.99
1,Good,H,SI2,63.4,61,3850,6.29,6.33,4
1.02,Premium,I,VS2,62,58,4459,6.44,6.47,4
1,Very Good,I,SI2,58.3,63,3360,6.53,6.5,3.8
0.3,Ideal,F,IF,61.4,57,886,4.34,4.36,2.67
1.69,Very Good,I,VVS2,60.4,59,12394,7.7,7.73,4.66
0.41,Ideal,D,SI2,62.6,57,656,4.72,4.77,2.97
0.41,Premium,H,VS1,62.6,60,1061,4.77,4.75,2.98
0.48,Very Good,E,VVS1,60.6,56,2275,5.13,5.06,3.09
1.02,Very Good,H,VS2,62.4,57,5565,6.35,6.4,3.98
0.72,Ideal,D,SI1,61.6,55,2731,5.75,5.8,3.56
0.86,Premium,E,SI1,61.9,61,3323,6.07,5.99,3.73
0.31,Ideal,D,VS2,62.5,56,942,4.36,4.34,2.72
1.53,Good,I,SI2,63.9,59,6238,7.31,7.17,4.64
0.5,Good,G,SI1,63.6,55,1286,5.06,5.03,3.21
1.03,Very Good,H,SI1,60.8,60,4836,6.47,6.5,3.94
1.76,Very Good,H,SI1,63,63,9336,7.65,7.63,4.81
0.72,Very Good,J,VVS2,63,59,2144,5.7,5.72,3.6
1.01,Ideal,G,VS2,59.6,59,6295,6.52,6.57,3.9
1.01,Very Good,E,SI1,60,60,5556,6.45,6.49,3.88
0.3,Ideal,H,SI1,62.4,53.7,442,4.29,4.31,2.68
1.51,Very Good,H,VS2,60.9,54,11077,7.38,7.41,4.5
0.31,Good,H,SI1,63.6,57,446,4.32,4.33,2.75
0.91,Very Good,E,VS2,62.9,55,4823,6.13,6.17,3.87
1.01,Very Good,E,VS1,63.9,58,7597,6.31,6.36,4.05
0.31,Premium,G,SI1,60.7,60,593,4.36,4.34,2.64
0.35,Premium,E,IF,59,61,1148,4.64,4.62,2.73
1.06,Ideal,E,SI2,62.2,55,5223,6.51,6.54,4.06
0.43,Premium,G,IF,61.1,58,1433,4.86,4.89,2.98
0.56,Ideal,H,VVS1,60,56,1929,5.37,5.4,3.23
0.31,Ideal,G,VVS2,61.2,54,677,4.38,4.41,2.69
0.33,Ideal,E,IF,60.8,57,1079,4.44,4.47,2.71
0.8,Ideal,I,IF,62.4,58,3357,5.9,5.96,3.7
0.71,Premium,E,VS2,62.7,58,2776,5.74,5.68,3.58
0.27,Very Good,E,VVS1,62.6,58,620,4.11,4.16,2.59
0.7,Very Good,F,SI1,62.4,56,2196,5.64,5.7,3.54
1,Premium,H,SI2,58.6,59,4088,6.57,6.5,3.83
0.51,Very Good,G,VVS2,63.3,58,1895,5.07,5.04,3.2
1.5,Very Good,G,SI2,58.5,62,8580,7.4,7.44,4.34
1,Very Good,F,SI2,63.2,59,3799,6.31,6.25,3.97
0.55,Very Good,D,SI1,63.1,56,1593,5.19,5.22,3.28
1.53,Premium,H,SI1,59.5,59,10398,7.53,7.46,4.46
0.3,Very Good,I,VS1,63.4,54,608,4.32,4.29,2.73
0.7,Good,F,I1,63.9,60,1040,5.65,5.52,3.58
0.41,Ideal,D,SI1,61.4,56,1015,4.8,4.77,2.94
0.23,Very Good,F,IF,61,62,485,3.95,3.99,2.42
0.31,Very Good,F,VS2,63.5,55,749,4.32,4.31,2.74
1.28,Very Good,J,SI1,63.4,59,4967,6.89,6.84,4.35
1.7,Ideal,J,VS2,62.5,57,9414,7.6,7.63,4.76
0.97,Premium,F,SI2,61.9,58,3993,6.35,6.31,3.92
1,Good,F,VS1,57.8,59,6552,6.57,6.59,3.8
1.13,Premium,H,VS2,62.4,58,5779,6.61,6.66,4.14
0.3,Premium,D,SI2,61.8,58,574,4.32,4.29,2.66
0.53,Ideal,E,VS2,61.5,56,1801,5.23,5.18,3.2
0.28,Ideal,F,VVS2,61.6,55,612,4.22,4.26,2.61
0.33,Ideal,G,VS1,62.1,54,854,4.47,4.42,2.76
0.45,Ideal,G,SI1,62,54,852,4.95,4.98,3.08
0.9,Very Good,G,SI2,61.4,58,3489,6.16,6.21,3.8
1.1,Very Good,G,SI1,59.4,58,4997,6.72,6.79,4.01
1.64,Premium,E,SI1,61.8,59,12896,7.55,7.51,4.65
0.31,Ideal,J,SI1,62.4,53,379,4.38,4.4,2.74
1.19,Ideal,I,VS1,61.6,56,7328,6.81,6.83,4.2
2.3,Good,I,SI2,63.8,55,12944,8.4,8.35,5.34
1.5,Ideal,I,I1,61.3,57,5695,7.39,7.36,4.52
0.77,Ideal,D,VS2,61.3,56,3442,5.87,5.9,3.61
0.31,Ideal,F,SI1,62.3,56,707,4.38,4.35,2.72
1.01,Fair,G,SI1,64.2,59,4004,6.31,6.28,4.04
0.33,Very Good,G,VS1,59.7,61,666,4.44,4.47,2.66
0.45,Premium,F,SI1,61.1,58,1046,4.97,4.95,3.03
0.56,Ideal,E,VS2,61.7,54,1819,5.28,5.35,3.28
1.05,Ideal,G,VS1,61.5,55,7247,6.56,6.59,4.04
0.7,Very Good,D,VS1,60.1,60,3208,5.73,5.76,3.45
0.3,Premium,G,VVS1,60.5,59,789,4.33,4.36,2.63
1.59,Good,F,SI1,63.6,57,11716,7.39,7.43,4.71
1.04,Ideal,F,SI1,61.4,56,5663,6.52,6.58,4.02
1.03,Premium,E,SI2,61.7,61,3876,6.49,6.45,3.99
2.68,Very Good,I,I1,63.5,56,9665,8.81,8.77,5.58
0.75,Good,I,VVS1,63.9,61,2381,5.7,5.67,3.63
0.28,Very Good,I,VS1,60.9,57,462,4.22,4.25,2.58
