carat,cut,color,clarity,depth,table,price,x,y,z
0.53,Ideal,E,VS2,62.4,56,1813,5.2,5.16,3.23
0.7,Fair,G,VVS2,65.3,61,2710,5.58,5.48,3.61
1.05,Very Good,H,VS2,63.2,58,5292,6.46,6.39,4.06
0.32,Premium,G,IF,59.9,58,1020,4.43,4.42,2.65
0.33,Premium,I,VS1,61.1,59,668,4.47,4.44,2.72
1.53,Very Good,I,SI1,63.1,56,7797,7.32,7.26,4.6
1.51,Very Good,I,SI1,61.6,58,9283,7.35,7.3,4.51
0.3,Ideal,F,IF,59.8,58,873,4.37,4.46,2.64
0.43,Premium,G,VVS1,60.3,58,1264,4.91,4.87,2.95
0.71,Premium,D,SI1,61.4,58,2913,5.75,5.79,3.54
0.36,Ideal,D,VS2,61.7,55,1094,4.6,4.58,2.83
0.31,Ideal,I,VS1,61.9,54.5,502,4.33,4.36,2.69
1.23,Premium,H,VS2,62.9,57,7089,6.84,6.77,4.28
1.51,Very Good,G,VS1,61.8,57,13348,7.31,7.42,4.55
1.25,Ideal,H,SI2,62.2,55.4,5932,6.89,6.94,4.29
0.34,Ideal,D,VS2,62.1,55,1033,4.49,4.46,2.78
0.9,Premium,F,SI2,60.5,57,3704,6.23,6.2,3.76
0.57,Very Good,G,SI1,61.1,57,1433,5.32,5.35,3.26
0.65,Very Good,I,VVS1,62.9,58,2085,5.51,5.53,3.47
2,Premium,D,SI2,61.6,59,17674,8.09,8.2,5.02
0.3,Ideal,D,VS1,61.9,54.1,817,4.28,4.33,2.67
1.1,Very Good,E,SI2,63.3,56,4140,6.58,6.53,4.15
0.55,Ideal,D,VS1,61.5,56,2020,5.28,5.26,3.24
1.05,Ideal,D,VS2,61,56,8451,6.54,6.61,4.01
1.52,Premium,I,I1,61.2,58,3541,7.43,7.35,4.52
2.01,Ideal,F,SI2,61.9,55,18395,8.1,8.05,5
0.73,Good,G,I1,63.9,55,1210,5.76,5.69,3.65
1.26,Premium,I,SI1,60.5,62,5292,6.97,6.92,4.2
0.95,Fair,J,SI1,58,66,3154,6.5,6.46,3.76
0.42,Ideal,G,VVS1,61.2,57,1235,4.82,4.78,2.94
0.7,Very Good,G,VS1,61,57,2591,5.69,5.72,3.48
0.32,Premium,E,VS2,61.7,58,900,4.41,4.38,2.71
1.62,Premium,F,SI1,62.6,58,13177,7.48,7.53,4.7
1.06,Ideal,G,VS1,61.2,56,7790,6.56,6.62,4.03
0.41,Ideal,E,SI1,61.5,55,711,4.78,4.81,2.95
0.33,Ideal,D,VS2,60.3,55,667,4.5,4.52,2.72
0.57,Very Good,D,IF,61.3,57,4032,5.33,5.41,3.29
1.01,Premium,I,SI2,61.7,60,3749,6.34,6.4,3.93
0.31,Ideal,G,VS1,61.5,56,802,4.43,4.39,2.71
0.39,Ideal,F,VVS1,60.9,55,1089,4.75,4.8,2.91
0.91,Premium,E,SI2,61,58,3644,6.31,6.27,3.84
0.35,Ideal,H,VVS1,62.3,55,798,4.51,4.55,2.82
1.28,Good,J,SI1,63.4,59,4878,6.84,6.89,4.35
0.4,Premium,F,SI1,62.8,59,945,4.72,4.71,2.96
0.34,Ideal,E,VVS1,61.9,56,1084,4.51,4.47,2.78
1.73,Premium,H,SI1,61.8,59,9607,7.71,7.66,4.75
0.71,Premium,F,VS2,62.6,58,2803,5.7,5.67,3.56
0.52,Ideal,D,I1,61.1,57,971,5.18,5.2,3.17
0.24,Very Good,E,VS2,62.1,59,419,3.98,4.01,2.48
0.34,Ideal,G,VS2,62.2,57,765,4.47,4.44,2.77
0.51,Premium,E,VVS2,61,61,2060,5.17,5.13,3.14
0.38,Premium,E,VS2,62.2,59,1112,4.67,4.63,2.89
1.34,Ideal,E,VVS2,62.6,54,14593,7.05,7.07,4.42
1.52,Premium,I,SI1,58.1,62,8852,7.61,7.56,4.41
0.72,Ideal,E,SI1,61,56,2951,5.84,5.79,3.55
0.71,Premium,F,VS1,61.1,58,2942,5.76,5.72,3.51
1.78,Premium,H,SI2,61,61,10666,7.88,7.82,4.79
0.7,Ideal,E,VS2,62,57,3093,5.68,5.71,3.53
0.72,Premium,E,SI2,59.3,60,1808,5.88,5.85,3.48
1.17,Premium,J,SI1,61.9,58,4423,6.77,6.73,4.18
1.29,Very Good,F,I1,58.2,61,3774,7.11,7.15,4.15
1.5,Ideal,F,SI1,61.8,56,12389,7.27,7.34,4.52
0.4,Ideal,J,VS1,62.6,55,810,4.75,4.71,2.96
1.06,Premium,F,SI2,62.4,58,4372,6.5,6.54,4.07
2.17,Premium,J,SI2,62.3,58,13556,8.31,8.26,5.16
0.93,Ideal,I,SI2,62.3,57,3101,6.2,6.22,3.87
1.28,Good,H,SI2,63.8,55,4516,6.84,6.79,4.35
0.51,Premium,D,VS1,60,58,2203,5.19,5.14,3.1
0.32,Ideal,F,SI2,62.6,56,540,4.41,4.37,2.75
1.26,Premium,J,VS2,62.5,58,5015,6.9,6.92,4.32
0.41,Ideal,E,VVS2,61.4,57,1187,4.76,4.79,2.93
1.64,Ideal,I,VS1,60.5,57,11305,7.68,7.62,4.64
0.6,Very Good,E,SI1,63.2,56,1836,5.38,5.32,3.38
0.36,Premium,H,VS1,61.6,59,810,4.57,4.52,2.8
1.01,Ideal,G,VS2,61.4,57,7179,6.44,6.5,3.97
0.41,Very Good,E,VS1,62.9,56,931,4.72,4.78,2.99
0.3,Ideal,G,VVS2,63,57,878,4.32,4.28,2.71
1.53,Very Good,H,VS1,59.5,63,10076,7.51,7.44,4.45
0.71,Very Good,H,SI1,62.9,58,2246,5.62,5.66,3.55
0.46,Ideal,G,SI2,62.2,53,864,4.95,4.98,3.09
0.72,Ideal,G,SI2,62.1,55.3,2089,5.72,5.74,3.56
0.32,Premium,E,VS2,60.5,55,900,4.49,4.43,2.7
0.52,Premium,E,SI1,59.8,61,1577,5.2,5.17,3.1
0.56,Ideal,F,VVS2,62.2,54.3,2260,5.26,5.29,3.28
0.72,Very Good,D,VS2,62.1,59,3016,5.7,5.73,3.55
0.38,Ideal,E,VVS2,62.2,56,1100,4.58,4.65,2.87
1,Fair,H,SI2,67,55,2912,6.25,6.12,4.16
1.53,Premium,G,SI2,58.7,59,8688,7.51,7.45,4.39
1,Fair,H,SI2,65.1,58,3640,6.27,6.15,4.05
0.41,Ideal,J,VS1,62.7,54,648,4.75,4.79,2.99
2.06,Ideal,I,SI2,63.3,54,14505,8.09,8.14,5.13
0.3,Premium,G,VS1,61.4,60,776,4.33,4.3,2.65
0.27,Ideal,D,VVS2,61.5,56,586,4.15,4.18,2.56
1.01,Fair,J,VS2,65.8,55,3190,6.29,6.24,4.12
0.3,Premium,D,VS2,61.7,59,710,4.25,4.28,2.63
0.32,Premium,H,VS1,61.3,60,561,4.33,4.38,2.67
1.64,Ideal,F,SI2,61.4,57,10733,7.55,7.59,4.65
0.32,Ideal,I,VS2,62.5,55,449,4.37,4.4,2.74
0.33,Ideal,G,VVS2,62.6,53,901,4.45,4.43,2.78
0.53,Premium,D,VS2,60.2,58,1808,5.23,5.26,3.16
2.18,Premium,I,SI1,63,58,13263,8.23,8.17,5.22
0.58,Very Good,D,VVS2,63,56,2400,5.28,5.35,3.35
1,Very Good,E,SI1,63.2,57,5396,6.39,6.36,4.03
0.3,Ideal,G,IF,62.1,55,895,4.31,4.35,2.69
0.32,Ideal,F,VS2,63,57,773,4.37,4.33,2.74
0.34,Premium,J,VS2,62.3,60,417,4.46,4.49,2.79
0.93,Ideal,F,SI2,62,57,3266,6.31,6.28,3.9
0.42,Premium,F,SI1,62.7,55,992,4.83,4.8,3.02
0.3,Very Good,D,SI1,61,60,552,4.3,4.35,2.64
1.51,Very Good,H,SI1,62.8,55,10314,7.29,7.32,4.59
0.51,Ideal,E,VS2,61.7,53,1709,5.2,5.18,3.2
0.5,Good,G,VVS2,64.1,56,1666,5.02,5.06,3.23
1.52,Ideal,I,VS1,62.9,60,10214,7.31,7.27,4.59
0.73,Ideal,I,VS1,61.6,55,2596,5.77,5.79,3.56
0.3,Ideal,H,VS2,61,56,501,4.33,4.37,2.65
0.5,Ideal,E,VS2,62.2,55,1624,5.07,5.09,3.16
0.55,Ideal,E,VS1,61.5,56,2220,5.26,5.29,3.24
1.43,Very Good,H,SI1,62.8,58,8069,7.08,7.13,4.46
0.41,Ideal,I,SI1,61.7,55,561,4.77,4.8,2.95
0.7,Ideal,J,VS1,61.4,55,2107,5.72,5.75,3.53
2.1,Premium,I,VS2,59.2,60,13753,8.38,8.35,4.95
0.4,Premium,F,VVS2,60.8,59,1088,4.72,4.76,2.88
0.77,Ideal,I,VS2,61.2,59,2558,5.91,5.95,3.63
0.41,Ideal,E,SI2,61.9,57,683,4.76,4.8,2.96
1.57,Premium,F,SI1,62,58,11523,7.47,7.41,4.61
1.04,Very Good,E,SI1,63.5,56,5381,6.41,6.37,4.06
0.35,Ideal,G,VVS2,61.8,55,756,4.54,4.56,2.81
0.52,Very Good,H,VVS1,63.9,59,1664,5.08,5.1,3.25
1.7,Very Good,I,VS1,61.9,57,12621,7.67,7.64,4.74
0.41,Premium,E,SI2,61.9,55,876,4.8,4.77,2.96
0.51,Ideal,G,VVS2,61.3,57,1875,5.12,5.15,3.15
0.31,Ideal,H,VS1,62.2,57,698,4.37,4.34,2.71
0.51,Ideal,D,SI1,61.6,56,1569,5.1,5.12,3.15
0.62,Good,G,VS1,62.5,60.8,1893,5.37,5.47,3.39
1.01,Very Good,F,SI1,61.9,57,4619,6.37,6.42,3.96
0.43,Ideal,D,VS1,62.1,55,1264,4.86,4.83,3.01
0.93,Very Good,F,SI1,58.8,60,4081,6.37,6.49,3.78
0.71,Very Good,J,VS2,62.8,61,1821,5.63,5.71,3.56
0.36,Ideal,J,VS2,61.5,55,459,4.6,4.63,2.84
0.41,Premium,D,VS1,59.3,58,1286,4.87,4.85,2.88
1.2,Ideal,H,SI2,61.1,57,4368,6.9,6.81,4.19
1.27,Ideal,H,SI1,61.5,55,6472,6.97,6.95,4.28
0.9,Very Good,G,VS2,62.4,60,4182,6.07,6.11,3.8
0.26,Very Good,F,VVS1,60.6,56,657,4.12,4.16,2.51
2.07,Ideal,I,SI2,62,55,16189,8.12,8.22,5.07
0.32,Ideal,G,IF,61.2,57,1020,4.43,4.4,2.7
0.74,Good,J,SI1,59.9,64,2058,5.82,5.86,3.5
1.1,Ideal,H,SI1,62.5,57,4764,6.6,6.56,4.11
0.52,Very Good,E,SI2,62.6,58,1372,5.05,5.17,3.2
0.4,Ideal,E,VVS1,62.4,57,1397,4.72,4.67,2.93
1.25,Ideal,E,VVS1,62.6,56,13536,6.83,6.91,4.3
1.23,Ideal,D,VVS2,62.4,55,13653,6.87,6.82,4.27
0.71,Premium,E,SI1,62.2,58,2743,5.74,5.67,3.55
1.13,Fair,I,VS2,55.9,67,4695,7.05,6.94,3.9
1.19,Very Good,D,SI2,63.5,57,5562,6.67,6.75,4.26
0.51,Very Good,G,VS1,59.6,58,1741,5.21,5.22,3.11
0.42,Ideal,H,VS1,61,57,1299,4.85,4.89,2.97
0.62,Premium,I,VS2,61.9,59,1378,5.46,5.5,3.39
0.4,Ideal,G,IF,63.1,54,1239,4.69,4.73,2.97
0.84,Fair,D,SI2,64.5,60,2167,5.92,5.84,3.79
0.71,Premium,F,VS1,59.1,61,2839,5.84,5.81,3.44
0.7,Ideal,E,VS2,61.9,57,2553,5.69,5.74,3.54
0.91,Fair,H,SI1,65.3,62,3278,6.11,6.01,3.96
0.36,Ideal,H,VS2,61,57,587,4.59,4.63,2.81
0.4,Ideal,H,VVS2,62.3,57,1125,4.73,4.71,2.94
1,Premium,D,SI2,62.4,58,4730,6.33,6.36,3.96
1.01,Good,G,SI2,63.7,58,3923,6.35,6.31,4.03
0.4,Ideal,J,SI1,62.2,57,552,4.71,4.74,2.94
0.52,Premium,D,VS2,62.4,58,1842,5.13,5.09,3.19
2.02,Good,F,SI2,57.1,60,12615,8.31,8.25,4.73
0.71,Ideal,D,VS1,62.5,57,3090,5.71,5.68,3.56
0.32,Very Good,G,VS1,62.4,58,645,4.35,4.4,2.73
0.44,Ideal,G,VVS1,61.3,55,1143,4.92,4.94,3.02
1.2,Ideal,G,VVS2,61,56,11530,6.86,6.88,4.19
0.9,Premium,H,SI2,59.5,60,2927,6.32,6.29,3.75
0.4,Premium,E,VVS2,61.4,56,1056,4.81,4.74,2.93
0.9,Very Good,H,VS1,63.5,59,4234,6.13,6.1,3.88
1.01,Very Good,E,VS2,64,56,6771,6.22,6.37,4.03
0.32,Ideal,F,VS2,62.4,57,602,4.37,4.44,2.75
0.4,Very Good,E,VVS1,63.4,57,1164,4.64,4.66,2.95
0.76,Premium,E,SI2,61.5,58,2688,5.86,5.81,3.59
0.39,Very Good,G,VVS2,63.4,57,956,4.65,4.62,2.94
0.51,Ideal,G,VS1,60.2,56,1852,5.2,5.24,3.14
0.7,Very Good,F,SI1,62.3,58,2161,5.62,5.78,3.55
0.3,Ideal,D,SI1,62,53,524,4.33,4.35,2.69
0.33,Premium,E,VS2,60.6,60,928,4.48,4.43,2.7
1.09,Ideal,H,VS1,61.3,54,6643,6.66,6.68,4.09
0.41,Fair,H,SI1,65.4,61,659,4.51,4.63,2.99
0.52,Very Good,G,SI1,62.8,61,1244,5.11,5.14,3.22
0.4,Ideal,E,VS2,62.3,56,912,4.72,4.75,2.95
0.33,Ideal,H,VS2,60.7,55,551,4.48,4.51,2.73
1.21,Ideal,D,VVS2,61.3,56,13965,6.86,6.9,4.22
0.82,Ideal,G,SI1,60.7,57,3123,6.07,6.06,3.68
0.33,Ideal,E,VS2,61.2,56,723,4.45,4.47,2.73
0.32,Ideal,D,VS2,62.6,55,758,4.37,4.39,2.74
0.43,Ideal,H,SI1,61.6,55,716,4.87,4.9,3.01
0.56,Premium,I,VVS1,60.6,59,1743,5.33,5.29,3.22
0.8,Premium,E,VS2,63,56,3494,5.91,5.84,3.7
2.07,Ideal,F,SI2,61.5,55,18344,8.23,8.28,5.08
1.32,Premium,H,VVS2,61.3,58,6520,7.05,7.01,4.31
0.7,Ideal,G,VS2,62.3,57,2723,5.65,5.68,3.53
0.36,Ideal,D,SI1,61.5,56,663,4.56,4.64,2.83
2.01,Very Good,J,SI1,59.3,62,12257,8.15,8.2,4.85
0.53,Very Good,E,VVS2,60.7,59,2297,5.19,5.28,3.18
0.42,Ideal,H,VVS1,61.3,56,1625,4.83,4.86,2.97
2.11,Premium,G,SI2,62.2,58,13598,8.19,8.23,5.11
0.53,Ideal,E,VS2,60,57,1813,5.3,5.24,3.16
0.6,Very Good,F,VS2,60.8,56,2270,5.45,5.48,3.32
0.31,Very Good,G,IF,61.6,54,891,4.4,4.43,2.72
1.02,Very Good,H,SI2,62.6,60,4229,6.3,6.38,3.97
0.35,Ideal,E,IF,61.4,56,1197,4.53,4.56,2.79
1.71,Premium,I,VS1,60.3,62,10055,7.76,7.7,4.66
1.51,Premium,G,SI1,60.3,59,9710,7.39,7.44,4.47
1.01,Fair,D,VS2,65.2,57,6081,6.23,6.19,4.05
0.51,Good,H,VS2,64.1,54,1195,5.02,5,3.21
0.33,Ideal,H,VS2,61.2,55,521,4.45,4.47,2.73
0.78,Very Good,E,SI1,63.4,56,2565,5.84,5.9,3.72
1.53,Ideal,E,SI1,61,55,11470,7.44,7.49,4.55
0.71,Premium,D,SI2,59.7,60,2235,5.84,5.79,3.47
1.13,Premium,D,SI2,62,58,5280,6.64,6.68,4.13
0.5,Good,E,VS2,57.8,60,1365,5.2,5.29,3.03
0.53,Ideal,D,VS1,61.5,55,1813,5.19,5.22,3.2
0.31,Ideal,H,IF,62,54,789,4.38,4.4,2.72
1.52,Premium,G,VS2,62.9,60,12148,7.31,7.28,4.59
2,Very Good,I,VS2,63.5,59,15025,7.98,7.93,5.05
1,Very Good,D,VS2,63.5,57,6776,6.37,6.32,4.03
0.25,Ideal,H,VVS1,62.4,55,525,4.04,4.08,2.53
0.7,Very Good,I,SI1,61.6,63,1856,5.68,5.59,3.47
1.01,Ideal,H,SI2,60.7,59,4078,6.47,6.45,3.92
0.52,Premium,G,SI2,59.2,60,1121,5.29,5.21,3.11
0.53,Fair,E,SI1,64.5,53,1363,5.16,5.15,3.33
1.2,Premium,J,SI1,60.5,59,4536,6.84,6.79,4.12
1.35,Premium,H,VS2,62.2,56,8062,7.13,7.08,4.42
0.7,Ideal,D,SI2,62.6,57,2373,5.63,5.68,3.54
0.7,Premium,F,SI2,61.7,62,2107,5.69,5.65,3.5
0.42,Very Good,E,SI2,62.9,56,700,4.77,4.8,3.01
0.53,Ideal,F,VVS2,61.3,55,2291,5.23,5.27,3.22
1.56,Ideal,I,SI1,62.5,54,9788,7.45,7.37,4.63
1.2,Premium,H,SI1,62.9,55,5975,6.77,6.74,4.25
0.8,Very Good,G,SI1,62.9,56,3070,5.88,5.95,3.72
2.37,Ideal,J,SI1,61.9,55,18508,8.53,8.56,5.29
1.72,Very Good,I,VVS2,62.7,58,12396,7.54,7.6,4.75
1.2,Ideal,H,VS2,63,56,5833,6.74,6.65,4.22
1.51,Very Good,E,SI1,63.1,56,10113,7.24,7.22,4.56
0.31,Very Good,D,SI1,63,55,571,4.32,4.34,2.73
1.07,Very Good,G,VVS2,59.4,57,7597,6.74,6.69,3.99
1,Fair,D,SI2,69.3,58,2974,5.96,5.87,4.1
0.7,Good,E,VS1,57.2,59,2826,5.94,5.88,3.38
0.4,Ideal,E,VVS1,60.6,56,1031,4.77,4.8,2.9
0.7,Ideal,I,VS1,61.9,56,2616,5.69,5.72,3.53
0.62,Ideal,F,VS1,61.9,55,2344,5.46,5.19,3.39
0.34,Very Good,F,SI2,61.7,61,447,4.44,4.48,2.75
1.09,Very Good,F,SI2,58.5,59,4113,6.75,6.8,3.96
